movie_id,title,url_poster,rating,link_film,release_date,overview
31,Safe House (2012),https://image.tmdb.org/t/p/w185/7CBhSjQa07LYt0RGejYjWugGmdV.jpg,6.699999809265137,https://tv9.idlix.asia/movie/safe-house-2012/,2012-02-08,
32,The Jackal (1997),https://image.tmdb.org/t/p/w185/oXF26QmDEaRaH9Fbhs3NXtcnryx.jpg,6.400000095367432,https://tv9.idlix.asia/movie/the-jackal-1997/,1997-11-14,
33,Bat War (2024),https://image.tmdb.org/t/p/w185/mfqG71zWNX7q9ovhZ8zleLk24dm.jpg,0,https://tv9.idlix.asia/movie/bat-war-2024/,2024-09-19,
34,Dirty Money (2024),https://image.tmdb.org/t/p/w185/aYgEyFCopQDGqcYkpPpDdMpZA44.jpg,0,https://tv9.idlix.asia/movie/dirty-money-2024/,2024-10-17,
35,Sonic the Hedgehog 3 (2024),https://image.tmdb.org/t/p/w185/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,7.199999809265137,https://tv9.idlix.asia/movie/sonic-the-hedgehog-3-2024/,2024-12-19,
36,The Grand Heist (2012),https://image.tmdb.org/t/p/w185/of8NnfBmjka5PGfEmPXaAyt8F3w.jpg,6.199999809265137,https://tv9.idlix.asia/movie/the-grand-heist-2012/,2012-08-08,
37,BORDER Redemption (2017),https://image.tmdb.org/t/p/w185/iiVDIMStjhPxkC8l4vHsnjmfKch.jpg,7.199999809265137,https://tv9.idlix.asia/movie/border-redemption-2017/,2017-10-29,
38,Alarum (2025),https://image.tmdb.org/t/p/w185/v313aUGmMNj6yNveaiQXysBmjVS.jpg,0,https://tv9.idlix.asia/movie/alarum-2025/,2025-01-16,
39,Back in Action (2025),https://image.tmdb.org/t/p/w185/zDdwuxEr6GTtl0o7PbVvVo4ht5i.jpg,0,https://tv9.idlix.asia/movie/back-in-action-2025/,2025-01-17,
40,Kingdom 4: Return of the Great General (2024),https://image.tmdb.org/t/p/w185/9bMwpsYidkTotBumQe5KywY0c5a.jpg,7.599999904632568,https://tv9.idlix.asia/movie/kingdom-4-return-of-the-great-general-2024/,2024-07-12,
41,Kraven the Hunter (2024),https://image.tmdb.org/t/p/w185/i47IUSsN126K11JUzqQIOi1Mg1M.jpg,5.400000095367432,https://tv9.idlix.asia/movie/kraven-the-hunter-2024/,2024-12-11,
42,Rob-B-Hood (2006),https://image.tmdb.org/t/p/w185/1ViUIV1rf0WZQte0hHh74DWFLeW.jpg,6.599999904632568,https://tv9.idlix.asia/movie/rob-b-hood-2006/,2006-09-28,
43,Batman & Robin (1997),https://image.tmdb.org/t/p/w185/cGRDufDDSrFrv7VI4YnmWnslne0.jpg,3.799999952316284,https://tv9.idlix.asia/movie/batman-robin-1997/,1997-06-20,
44,Superman IV: The Quest for Peace (1987),https://image.tmdb.org/t/p/w185/aQ1d9OB0xtAenIL0Ke3xV17St4S.jpg,3.700000047683716,https://tv9.idlix.asia/movie/superman-iv-the-quest-for-peace-1987/,1987-07-24,
45,Superman III (1983),https://image.tmdb.org/t/p/w185/A2YQEocqHaz9Lmj66P4gnRBvA5L.jpg,5,https://tv9.idlix.asia/movie/superman-iii-1983/,1983-06-17,
46,Superman II (1980),https://image.tmdb.org/t/p/w185/3xk5cno9BHcnwc97XO9k21aI1Zi.jpg,6.800000190734863,https://tv9.idlix.asia/movie/superman-ii-1980/,1980-12-12,
47,Superman (1978),https://image.tmdb.org/t/p/w185/d7px1FQxW4tngdACVRsCSaZq0Xl.jpg,7.400000095367432,https://tv9.idlix.asia/movie/superman-1978/,1978-12-14,
48,Ad Vitam (2025),https://image.tmdb.org/t/p/w185/dOpSxmD3FWfl6SK8SLXw9uwcO05.jpg,0,https://tv9.idlix.asia/movie/ad-vitam-2025/,2025-01-09,
49,The Experts (2024),https://image.tmdb.org/t/p/w185/6qY4HM5ayavGPGrhVVLfUJ9xjq8.jpg,6.400000095367432,https://tv9.idlix.asia/movie/the-experts-2024/,2024-05-23,
50,Haunters (2010),https://image.tmdb.org/t/p/w185/2jHVZPP9PUDGoA0gSC4fxrTska0.jpg,6.099999904632568,https://tv9.idlix.asia/movie/haunters-2010/,2010-11-10,
51,Outlaw King (2018),https://image.tmdb.org/t/p/w185/rT49ousKUWN3dV7UlhaC9onTNdl.jpg,6.900000095367432,https://tv9.idlix.asia/movie/outlaw-king-2018/,2018-09-06,
52,Tower Heist (2011),https://image.tmdb.org/t/p/w185/jQrroNwP8hbFiUlNMs20emauwPE.jpg,6.199999809265137,https://tv9.idlix.asia/movie/tower-heist-2011/,2011-11-02,
53,Cloud (2024),https://image.tmdb.org/t/p/w185/3QgbpjbbzVIOYPK5FyznOMlWkEl.jpg,6.400000095367432,https://tv9.idlix.asia/movie/cloud-2024/,2024-09-27,
54,The Lord of the Rings: The War of the Rohirrim (2024),https://image.tmdb.org/t/p/w185/hE9SAMyMSUGAPsHUGdyl6irv11v.jpg,6.599999904632568,https://tv9.idlix.asia/movie/the-lord-of-the-rings-the-war-of-the-rohirrim-2024/,2024-12-05,
55,The Patriot (2000),https://image.tmdb.org/t/p/w185/fWZd815QxUCUcrWQZwUkAp9ljG.jpg,7.199999809265137,https://tv9.idlix.asia/movie/the-patriot-2000/,2000-06-28,
56,Gladiator II (2024),https://image.tmdb.org/t/p/w185/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,6.900000095367432,https://tv9.idlix.asia/movie/gladiator-ii-2024/,2024-11-05,
57,Werewolves (2024),https://image.tmdb.org/t/p/w185/elKf8Y5yi6Rl6teKsrQg0GAwaQD.jpg,5,https://tv9.idlix.asia/movie/werewolves-2024/,2024-12-04,
58,Panda Plan (2024),https://image.tmdb.org/t/p/w185/95EiKK6SM5k26cLlP37eGcJHzDQ.jpg,5.599999904632568,https://tv9.idlix.asia/movie/panda-plan-2024/,2024-10-01,
59,Roxana (2024),https://image.tmdb.org/t/p/w185/h8wfp6CTiafZ6X8U7sEMpz9q0NP.jpg,0,https://tv9.idlix.asia/movie/roxana-2024/,2024-09-21,
60,Ferry 2 (2024),https://image.tmdb.org/t/p/w185/8pwdnL3pEISIN1EGmwZzU6hpNVk.jpg,6,https://tv9.idlix.asia/movie/ferry-2-2024/,2024-12-19,
61,Legion (2010),https://image.tmdb.org/t/p/w185/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg,5.300000190734863,https://tv9.idlix.asia/movie/legion-2010/,2010-01-21,
62,The Bounty Hunter (2010),https://image.tmdb.org/t/p/w185/fJPKar0jnAsS09l3xfP6LL8sUkX.jpg,5.5,https://tv9.idlix.asia/movie/the-bounty-hunter-2010/,2010-03-16,
63,The Covenant (2006),https://image.tmdb.org/t/p/w185/nx4rYyGsLKN2Dx5IpGzw1SMZ9PO.jpg,5.199999809265137,https://tv9.idlix.asia/movie/the-covenant-2006/,2006-09-07,
64,Ronin (1998),https://image.tmdb.org/t/p/w185/AirrhRJjHwytOV0pdLu7YZ4DEyr.jpg,7.199999809265137,https://tv9.idlix.asia/movie/ronin-1998/,1998-09-25,
65,Dirty Angels (2024),https://image.tmdb.org/t/p/w185/3O3qSGmjRGc10hMwFul8WDxKE5t.jpg,0,https://tv9.idlix.asia/movie/dirty-angels-2024/,2024-12-11,
66,Smallville (2001),https://image.tmdb.org/t/p/w185/qrtnXvsycqcCtiknO6hKIdekYGF.jpg,8.21500015258789,https://tv9.idlix.asia/tvseries/smallville-2001/,2001-10-16,
67,Carry-On (2024),https://image.tmdb.org/t/p/w185/sjMN7DRi4sGiledsmllEw5HJjPy.jpg,0,https://tv9.idlix.asia/movie/carry-on-2024/,2024-12-05,
68,Red One (2024),https://image.tmdb.org/t/p/w185/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,6.800000190734863,https://tv9.idlix.asia/movie/red-one-2024/,2024-10-31,
69,Operation Undead (2024),https://image.tmdb.org/t/p/w185/rs10lMBnJFnJX1Y7MYpyB8JiNAF.jpg,5.099999904632568,https://tv9.idlix.asia/movie/operation-undead-2024/,2024-08-01,
70,Secret Level (2024),https://image.tmdb.org/t/p/w185/n2X5fVCoiunjC1lKnqOrIzSBI8U.jpg,9,https://tv9.idlix.asia/tvseries/secret-level-2024/,2024-12-10,
71,Synduality Noir (2023),https://image.tmdb.org/t/p/w185/rK7AYPKYdE0yI6MUK0CVK6ErFTl.jpg,5.099999904632568,https://tv9.idlix.asia/tvseries/synduality-noir-2023/,2023-07-11,
72,"Bye Bye, Earth (2024)",https://image.tmdb.org/t/p/w185/iuo2jor1Hya3bT1imNxEScgoh5o.jpg,7.800000190734863,https://tv9.idlix.asia/tvseries/bye-bye-earth-2024/,2024-07-12,
